GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,QSPE001,NAME_M,QSPM001
"G44000700121041","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"012104","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070121041",,,"Block Group 1, Census Tract 121.04, Providence County, Rhode Island",1177,"Block Group 1, Census Tract 121.04, Providence County, Rhode Island",349
"G44000700121042","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"012104","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070121042",,,"Block Group 2, Census Tract 121.04, Providence County, Rhode Island",956,"Block Group 2, Census Tract 121.04, Providence County, Rhode Island",234
"G44000700121043","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"012104","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070121043",,,"Block Group 3, Census Tract 121.04, Providence County, Rhode Island",2199,"Block Group 3, Census Tract 121.04, Providence County, Rhode Island",456
"G44000700122001","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"012200","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070122001",,,"Block Group 1, Census Tract 122, Providence County, Rhode Island",1644,"Block Group 1, Census Tract 122, Providence County, Rhode Island",422
"G44000700122002","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"012200","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070122002",,,"Block Group 2, Census Tract 122, Providence County, Rhode Island",2237,"Block Group 2, Census Tract 122, Providence County, Rhode Island",469
"G44000700122003","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"012200","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070122003",,,"Block Group 3, Census Tract 122, Providence County, Rhode Island",739,"Block Group 3, Census Tract 122, Providence County, Rhode Island",258
"G44000700122004","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"012200","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070122004",,,"Block Group 4, Census Tract 122, Providence County, Rhode Island",2828,"Block Group 4, Census Tract 122, Providence County, Rhode Island",380
"G44000700123001","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"012300","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070123001",,,"Block Group 1, Census Tract 123, Providence County, Rhode Island",1485,"Block Group 1, Census Tract 123, Providence County, Rhode Island",459
"G44000700123002","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"012300","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070123002",,,"Block Group 2, Census Tract 123, Providence County, Rhode Island",2223,"Block Group 2, Census Tract 123, Providence County, Rhode Island",453
"G44000700123003","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"012300","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070123003",,,"Block Group 3, Census Tract 123, Providence County, Rhode Island",2764,"Block Group 3, Census Tract 123, Providence County, Rhode Island",493
"G44000700124011","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"012401","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070124011",,,"Block Group 1, Census Tract 124.01, Providence County, Rhode Island",789,"Block Group 1, Census Tract 124.01, Providence County, Rhode Island",321
"G44000700124012","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"012401","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070124012",,,"Block Group 2, Census Tract 124.01, Providence County, Rhode Island",718,"Block Group 2, Census Tract 124.01, Providence County, Rhode Island",300
"G44000700124013","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"012401","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070124013",,,"Block Group 3, Census Tract 124.01, Providence County, Rhode Island",871,"Block Group 3, Census Tract 124.01, Providence County, Rhode Island",208
"G44000700124014","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"012401","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070124014",,,"Block Group 4, Census Tract 124.01, Providence County, Rhode Island",1402,"Block Group 4, Census Tract 124.01, Providence County, Rhode Island",327
"G44000700124015","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"012401","5",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070124015",,,"Block Group 5, Census Tract 124.01, Providence County, Rhode Island",634,"Block Group 5, Census Tract 124.01, Providence County, Rhode Island",198
"G44000700124016","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"012401","6",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070124016",,,"Block Group 6, Census Tract 124.01, Providence County, Rhode Island",2634,"Block Group 6, Census Tract 124.01, Providence County, Rhode Island",536
"G44000700124021","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"012402","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070124021",,,"Block Group 1, Census Tract 124.02, Providence County, Rhode Island",1163,"Block Group 1, Census Tract 124.02, Providence County, Rhode Island",209
"G44000700124022","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"012402","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070124022",,,"Block Group 2, Census Tract 124.02, Providence County, Rhode Island",1700,"Block Group 2, Census Tract 124.02, Providence County, Rhode Island",593
